 id ;Nom ;Pays;date_embauche ;salaire (€) ;distance/vitesse ;Commentaire;email ;Commentaire_translated_en
 20 ;Zoë;es;  15 Dec 2024 ;1245.435;prix 61€;; jean.pierre@exemple.fr ;
 21 ;O'CONNOR;;  02 Apr 2024 ;1,036.08;4 km;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 22 ;BOB;fr ;12-03-2024;1 146,32;695m;;;
 23 ;李雷;fr ;08/21/2024;1.277;2.3 mi;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 24 ;محمد;;  13 Nov 2024 ;1.029;26 km/h;;;
 25 ;محمد;es;2024-09-04;969,00;prix 75€;  Très  satisfait!!! ;;Very satisfied!!!
 26 ; jean  pierre ;USA;  29 May 2024 ;1136.557;8 km;"  bon	produit
mais livraison lente ";test@example.com;"good product
but slow delivery"
 27 ;  Noël; FR;03/08/2024;836.94;533m;<b>Très</b> satisfait!!!; jean.pierre@exemple.fr ;<b>Very</b> satisfied!!!
 28 ;Chloé; uk;07/08/2024;1.126;1.8 mi;;;
 29 ;  Noël;fr ;01/20/2024;753,68;12 km/h;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 30 ;Mickaël;DE;01/05/2024;1,247.66;prix 108€;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 31 ;Zoë;DE;02/03/2024;0.101e4;5 km;J’aime bien — mais…  ;;I like it — but...
 32 ; jean  pierre ;  ;13/10/2024;919,88;229m;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 33 ;BOB;USA;17/08/2024;1 045,80;2.1 mi;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 34 ;محمد; uk;05/10/2024;1 188;73 km/h;  Très  satisfait!!! ;;Very satisfied!!!
 35 ;O'CONNOR;USA;01/22/2024;884;prix 29€;; jean.pierre@exemple.fr ;
 36 ;  Alice  ;USA;22-07-2024;  1097,56  ;1 km;; jean.pierre@exemple.fr ;
 37 ;O'CONNOR;es;2024-02-17;989.858;307m;<b>Très</b> satisfait!!!;test@example.com;<b>Very</b> satisfied!!!
 38 ;  Noël;  ;01/13/2024;25.976e3;1.5 mi;;;
 39 ;Mickaël;fr ;21/08/2024;11.466e2;89 km/h;;;
 40 ;  Alice  ; uk;11/28/2024;0.124e4;prix 137€;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 41 ;  Noël;USA;  20 Apr 2024 ;847;15 km;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 42 ;O'CONNOR; FR;  03 Oct 2024 ;967.431;867m;  Très  satisfait!!! ;test@example.com;Very satisfied!!!
 43 ;O'CONNOR;USA;11/11/2024;0.001e6;4.0 mi;"  bon	produit
mais livraison lente ";test@example.com;"good product
but slow delivery"
 44 ; jean  pierre ; FR;  31 Oct 2024 ;1 050;84 km/h;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 45 ;O'CONNOR;  ;2024-10-26;920.678;prix 160€;<b>Très</b> satisfait!!!; jean.pierre@exemple.fr ;<b>Very</b> satisfied!!!
 46 ; jean  pierre ;es;09/07/2024;925,76;1 km;;test@example.com;
 47 ;BOB;;03-08-2024;929;285m;;;
 48 ;  Noël;DE;02/09/2024;1 005;3.5 mi;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 49 ;BOB;es;2024-12-01;867;77 km/h;J’aime bien — mais…  ; jean.pierre@exemple.fr ;I like it — but...
 50 ;  Noël;USA;  24 Feb 2024 ;1 107;prix 10€;"  bon	produit
mais livraison lente ";test@example.com;"good product
but slow delivery"
 51 ;d’Artagnan;es;15/05/2024;1 002,20;1 km;<b>Très</b> satisfait!!!;test@example.com;<b>Very</b> satisfied!!!
 52 ;Zoë;DE;  16 Jul 2024 ;892.32;885m;J’aime bien — mais…  ;test@example.com;I like it — but...
 53 ;李雷;DE;29/06/2024;1 095;1.6 mi;"  bon	produit
mais livraison lente "; jean.pierre@exemple.fr ;"good product
but slow delivery"
 54 ;Chloé;es;18-06-2024;974,80;49 km/h;C'est  super  !!!;bad@@mail;It's great!!!
 55 ;Zoë;es;  16 Nov 2024 ;876.39;prix 156€;J’aime bien — mais…  ;bad@@mail;I like it — but...
 56 ;O'CONNOR; uk;09-07-2024;1 093;8 km;C'est  super  !!!;bad@@mail;It's great!!!
 57 ;Mickaël; uk;2024-01-13;1.037;252m;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 58 ; jean  pierre ; FR;  16 Apr 2024 ;1010.102;4.8 mi;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 59 ;  Noël;DE;15-12-2024;  1126,11  ;81 km/h;<b>Très</b> satisfait!!!; jean.pierre@exemple.fr ;<b>Very</b> satisfied!!!
 60 ;  Noël;es;18/01/2024;0.001e6;prix 106€;;test@example.com;
 61 ;d’Artagnan;fr ;28/11/2024;  1078,36  ;8 km;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 62 ;d’Artagnan;es;01/07/2024;10.393e2;451m;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 63 ;O'CONNOR; FR;  28 Mar 2024 ;  1151,9  ;1.4 mi;; jean.pierre@exemple.fr ;
 64 ;محمد;fr ;17/03/2024;577;45 km/h;C'est  super  !!!;test@example.com;It's great!!!
 65 ;Mickaël; uk;2024-11-27;1,088.37;prix 101€;;bad@@mail;
 66 ;Mickaël;es;08/13/2024;859,25;19 km;  Très  satisfait!!! ;;Very satisfied!!!
 67 ;  Noël;  ;11/08/2024;0.092e4;481m;J’aime bien — mais…  ;test@example.com;I like it — but...
 68 ;李雷;USA;04/09/2024;  1071,58  ;4.7 mi;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 69 ;  Alice  ;USA;  17 Mar 2024 ;10.637e2;68 km/h;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 70 ;محمد;USA;18-07-2024;0.001e6;prix 56€;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 71 ;محمد;es;10/24/2024;868;6 km;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 72 ;  Alice  ; FR;11-11-2024;1 061,02;638m;C'est  super  !!!;test@example.com;It's great!!!
 73 ;Zoë;USA;  04 Mar 2024 ;  943,82  ;1.7 mi;;bad@@mail;
 74 ;d’Artagnan; FR;2024-02-05;880;45 km/h;;bad@@mail;
 75 ;ÉLODIE; uk;27/04/2024;1256.598;prix 84€;C'est  super  !!!; jean.pierre@exemple.fr ;It's great!!!
 76 ;ÉLODIE;  ;2024-02-15;977.56;9 km;C'est  super  !!!;bad@@mail;It's great!!!
 77 ;  Alice  ;es;04/26/2024;  788,15  ;460m;;;
 78 ;Zoë;USA;15/02/2024;1 045,25;4.4 mi;"  bon	produit
mais livraison lente ";bad@@mail;"good product
but slow delivery"
 79 ;Zoë; FR;2024-02-12;964;75 km/h;C'est  super  !!!;;It's great!!!
 80 ;Chloé; FR;2024-10-17;-8,562.93;prix 25€;C'est  super  !!!;bad@@mail;It's great!!!
 81 ;Chloé;USA;02-07-2024;  916,85  ;3 km;;test@example.com;
 82 ;Zoë; FR;22/09/2024;989;886m;;;
 83 ;BOB; FR;09/26/2024;1,198.80;4.1 mi;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 84 ;ÉLODIE; FR;2024-01-02;774;18 km/h;C'est  super  !!!;test@example.com;It's great!!!
 85 ;Zoë;;18/02/2024;980.25;prix 154€;"  bon	produit
mais livraison lente ";test@example.com;"good product
but slow delivery"
 86 ;BOB;;06/10/2024;1135.133;12 km;;bad@@mail;
 87 ;李雷;DE;12-09-2024;932;264m;;;
 88 ;Zoë; uk;05-03-2024;0.095e4;3.6 mi;J’aime bien — mais…  ; jean.pierre@exemple.fr ;I like it — but...
 89 ;Zoë; uk;  23 Sep 2024 ;232.367e2;43 km/h;C'est  super  !!!;;It's great!!!
 90 ;Chloé;  ;  28 Jan 2024 ;  745,32  ;prix 32€;  Très  satisfait!!! ;;Very satisfied!!!
 91 ;  Noël;es;09/01/2024;  787,75  ;12 km;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 92 ;Mickaël;fr ;10/04/2024;  973,25  ;231m;<b>Très</b> satisfait!!!; jean.pierre@exemple.fr ;<b>Very</b> satisfied!!!
 93 ;BOB;USA;09/11/2024;1 167;2.4 mi;J’aime bien — mais…  ; jean.pierre@exemple.fr ;I like it — but...
 94 ;Chloé;DE;06-11-2024;1.159e3;19 km/h;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 95 ;d’Artagnan;fr ;14/12/2024;1,015.26;prix 83€;;;
 96 ;Chloé; uk;2024-05-23;918,87;3 km;<b>Très</b> satisfait!!!;;<b>Very</b> satisfied!!!
 97 ;Zoë;  ;  29 Jul 2024 ;1.182e3;403m;;;
 98 ;d’Artagnan;es;2024-06-25;988.338;4.6 mi;;test@example.com;
 99 ;李雷;es;14/02/2024;879;75 km/h;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 100 ;Zoë;;2024-10-29;1.114;prix 196€;;test@example.com;
 101 ;Mickaël;es;06/25/2024;  809,41  ;18 km;"  bon	produit
mais livraison lente "; jean.pierre@exemple.fr ;"good product
but slow delivery"
 102 ;Zoë;fr ;2024-01-06;1 030,96;333m;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 103 ;BOB;fr ;12-01-2024;1 026;2.5 mi;; jean.pierre@exemple.fr ;
 104 ;  Alice  ;USA;2024-06-09;910,92;48 km/h;;bad@@mail;
 105 ;Mickaël;DE;  06 Feb 2024 ;1 012,24;prix 100€;;bad@@mail;
 106 ;Zoë;;29/12/2024;  694,89  ;19 km;J’aime bien — mais…  ; jean.pierre@exemple.fr ;I like it — but...
 107 ;BOB;DE;13-11-2024;  1161,55  ;342m;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 108 ;Mickaël;fr ;  11 Aug 2024 ;0.001e6;1.2 mi;;test@example.com;
 109 ;محمد;fr ;10-11-2024;1,074.48;26 km/h;C'est  super  !!!; jean.pierre@exemple.fr ;It's great!!!
 110 ;BOB; uk;06/25/2024;  1095,1  ;prix 117€;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 111 ;BOB;;2024-04-15;1 236;6 km;  Très  satisfait!!! ; jean.pierre@exemple.fr ;Very satisfied!!!
 112 ;Zoë;  ;08/03/2024;1086.674;623m;;bad@@mail;
 113 ;  Alice  ; uk;02/03/2024;1,136.55;3.6 mi;  Très  satisfait!!! ;bad@@mail;Very satisfied!!!
 114 ;ÉLODIE; FR;  13 Dec 2024 ;958.052;12 km/h;<b>Très</b> satisfait!!!;bad@@mail;<b>Very</b> satisfied!!!
 115 ;ÉLODIE;DE;08/18/2024;1 043;prix 27€;"  bon	produit
mais livraison lente ";bad@@mail;"good product
but slow delivery"
 116 ;ÉLODIE;;  02 Mar 2024 ;919,34;5 km;"  bon	produit
mais livraison lente ";bad@@mail;"good product
but slow delivery"
 117 ;ÉLODIE;es;2024-03-17;987.493;425m;C'est  super  !!!;test@example.com;It's great!!!
 118 ;ÉLODIE; FR;02-05-2024;  1124,07  ;2.2 mi;  Très  satisfait!!! ;test@example.com;Very satisfied!!!
 119 ;李雷; uk;2024-12-19;1085.8;59 km/h;"  bon	produit
mais livraison lente ";;"good product
but slow delivery"
 120 ;d’Artagnan;;29/06/2024;905.137;prix 59€;  Très  satisfait!!! ;;Very satisfied!!!
 999 ;;  ;??;;;   ;;   
1000;   ;;;;1000 hPa;;a@b.com;
